id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category
19308716,Cutihyde Cream 20G,"Cutihyde Cream 20G by Resilient Cosmeceuticals Pvt Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,153.60 INR,https://www.indianskinstore.com/product/cutihyde-cream-20g,https://indianskinco.github.io/iss-catalog-images/p/19308716.jpg,Resilient Cosmeceuticals Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care,
18875967,Cutilite Cream 20GM,"Cutilite Cream 20GM by Glowderma. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 1*20GM.",in stock,new,231.56 INR,https://www.indianskinstore.com/product/cutilite-cream-20gm,https://indianskinco.github.io/iss-catalog-images/p/18875967.jpg,Glowderma,Health & Beauty > Personal Care > Cosmetics > Skin Care,
19308735,Dermadew Lite Soap 75 Gm,"Dermadew Lite Soap 75 Gm by H&H Pharma. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,220.00 INR,https://www.indianskinstore.com/product/dermadew-lite-soap-75-gm,https://indianskinco.github.io/iss-catalog-images/p/19308735.jpg,H&H Pharma,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
18888115,Dewsoft Soap 75G,"Dewsoft Soap 75G by Torrent Pharmaceuticals Ltd.. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75G.",in stock,new,291.50 INR,https://www.indianskinstore.com/product/dewsoft-soap-75g,https://indianskinco.github.io/iss-catalog-images/p/18888115.jpg,Torrent Pharmaceuticals Ltd.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
28887460,Drez-v Gel,"Drez-v Gel by Stedman Pharma Pvt Ltd.. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 1*30GM.",in stock,new,215.50 INR,https://www.indianskinstore.com/product/drez-v-gel,https://indianskinco.github.io/iss-catalog-images/p/28887460.jpg,Stedman Pharma Pvt Ltd.,Health & Beauty > Personal Care > Cosmetics > Skin Care,
19308761,Duvitin Soap 75GM,"Duvitin Soap 75GM by Ceuticoz. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,102.00 INR,https://www.indianskinstore.com/product/duvitin-soap-75gm,https://indianskinco.github.io/iss-catalog-images/p/19308761.jpg,Ceuticoz,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
18857784,Elastoderm Cream,"Elastoderm Cream by Apple Thaerapeutics Pvt.. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 50GM.",in stock,new,561.00 INR,https://www.indianskinstore.com/product/elastoderm-cream,https://indianskinco.github.io/iss-catalog-images/p/18857784.jpg,Apple Thaerapeutics Pvt.,Health & Beauty > Personal Care > Cosmetics > Skin Care,
28888468,Emodel AD01,"Emodel AD01 by Intas Pharmaceuticals L. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 300ML.",in stock,new,999.00 INR,https://www.indianskinstore.com/product/emodel-ad01,https://indianskinco.github.io/iss-catalog-images/p/28888468.jpg,Intas Pharmaceuticals L,Health & Beauty > Personal Care > Cosmetics > Skin Care,
28888473,Emodel AD24,"Emodel AD24 by Intas Pharmaceuticals L. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 5ML.",in stock,new,1299.00 INR,https://www.indianskinstore.com/product/emodel-ad24,https://indianskinco.github.io/iss-catalog-images/p/28888473.jpg,Intas Pharmaceuticals L,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
19308963,Endospore Soap 75GM,"Endospore Soap 75GM by Rivan Pharmaceuticals Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,155.00 INR,https://www.indianskinstore.com/product/endospore-soap-75gm,https://indianskinco.github.io/iss-catalog-images/p/19308963.jpg,Rivan Pharmaceuticals Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
