id	title	description	link	image_link	availability	price	brand	condition	identifier_exists	google_product_category	product_type
19308694	Cica -care 1 S	Cica -care 1 S by Smith&Nephew. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/cica--care-1-s	https://indianskinco.github.io/iss-catalog-images/p/19308694.jpg	in_stock	3153.33 INR	Smith&Nephew	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Post-Procedure
27352893	Claricika Anti-scar Cream	Claricika Anti-scar Cream by Temple Wellness Ventures Pvt Ltd. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 30GM.	https://www.indianskinstore.com/product/claricika-anti-scar-cream	https://indianskinco.github.io/iss-catalog-images/p/27352893.jpg	in_stock	1750.00 INR	Temple Wellness Ventures Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Post-Procedure
28757406	Clotipar Dusting Powder	Clotipar Dusting Powder by Skinthetics. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100GM.	https://www.indianskinstore.com/product/clotipar-dusting-powder	https://indianskinco.github.io/iss-catalog-images/p/28757406.jpg	in_stock	111.00 INR	Skinthetics	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
28606998	Cohans Soap	Cohans Soap by Vnw Pharmaceuticals Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75 GM.	https://www.indianskinstore.com/product/cohans-soap	https://indianskinco.github.io/iss-catalog-images/p/28606998.jpg	in_stock	125.00 INR	Vnw Pharmaceuticals Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
29087280	Cosmelite Next	Cosmelite Next by Eris Oaknet. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 50 ML.	https://www.indianskinstore.com/product/cosmelite-next	https://indianskinco.github.io/iss-catalog-images/p/29087280.jpg	in_stock	868.50 INR	Eris Oaknet	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
29041993	Cuti Eraise	Cuti Eraise by Eraise Glad. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100GM.	https://www.indianskinstore.com/product/cuti-eraise	https://indianskinco.github.io/iss-catalog-images/p/29041993.jpg	in_stock	186.00 INR	Eraise Glad	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
19308716	Cutihyde Cream 20G	Cutihyde Cream 20G by Resilient Cosmeceuticals Pvt Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/cutihyde-cream-20g	https://indianskinco.github.io/iss-catalog-images/p/19308716.jpg	in_stock	153.60 INR	Resilient Cosmeceuticals Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
18875967	Cutilite Cream 20GM	Cutilite Cream 20GM by Glowderma. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 1*20GM.	https://www.indianskinstore.com/product/cutilite-cream-20gm	https://indianskinco.github.io/iss-catalog-images/p/18875967.jpg	in_stock	231.56 INR	Glowderma	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
19308735	Dermadew Lite Soap 75 Gm	Dermadew Lite Soap 75 Gm by H&H Pharma. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/dermadew-lite-soap-75-gm	https://indianskinco.github.io/iss-catalog-images/p/19308735.jpg	in_stock	220.00 INR	H&H Pharma	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
18888115	Dewsoft Soap 75G	Dewsoft Soap 75G by Torrent Pharmaceuticals Ltd.. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75G.	https://www.indianskinstore.com/product/dewsoft-soap-75g	https://indianskinco.github.io/iss-catalog-images/p/18888115.jpg	in_stock	291.50 INR	Torrent Pharmaceuticals Ltd.	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
28887460	Drez-v Gel	Drez-v Gel by Stedman Pharma Pvt Ltd.. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 1*30GM.	https://www.indianskinstore.com/product/drez-v-gel	https://indianskinco.github.io/iss-catalog-images/p/28887460.jpg	in_stock	215.50 INR	Stedman Pharma Pvt Ltd.	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
19308761	Duvitin Soap 75GM	Duvitin Soap 75GM by Ceuticoz. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/duvitin-soap-75gm	https://indianskinco.github.io/iss-catalog-images/p/19308761.jpg	in_stock	102.00 INR	Ceuticoz	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
18857784	Elastoderm Cream	Elastoderm Cream by Apple Thaerapeutics Pvt.. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 50GM.	https://www.indianskinstore.com/product/elastoderm-cream	https://indianskinco.github.io/iss-catalog-images/p/18857784.jpg	in_stock	561.00 INR	Apple Thaerapeutics Pvt.	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Post-Procedure
28888468	Emodel AD01	Emodel AD01 by Intas Pharmaceuticals L. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 300ML.	https://www.indianskinstore.com/product/emodel-ad01	https://indianskinco.github.io/iss-catalog-images/p/28888468.jpg	in_stock	999.00 INR	Intas Pharmaceuticals L	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
28888473	Emodel AD24	Emodel AD24 by Intas Pharmaceuticals L. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 5ML.	https://www.indianskinstore.com/product/emodel-ad24	https://indianskinco.github.io/iss-catalog-images/p/28888473.jpg	in_stock	1299.00 INR	Intas Pharmaceuticals L	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
19308963	Endospore Soap 75GM	Endospore Soap 75GM by Rivan Pharmaceuticals Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/endospore-soap-75gm	https://indianskinco.github.io/iss-catalog-images/p/19308963.jpg	in_stock	155.00 INR	Rivan Pharmaceuticals Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
